# Books. Deliberately unlinked — buy them wherever you buy books, ideally somewhere local.
# The author and title are the durable part; a bookshop URL is not.
#source: seed
#cols: name	href	note	meta	subject
The Animator's Survival Kit		The one everyone means when they say "read the book". Timing, spacing, weight, walks.	Richard Williams	Animation principles
The Illusion of Life: Disney Animation		Where the twelve principles were written down. Also a history of how a craft got invented.	Frank Thomas & Ollie Johnston	Animation principles
Timing for Animation		Short, precise, entirely about the thing beginners get wrong.	Harold Whitaker & John Halas	Animation principles
Cartoon Animation		Preston Blair's classic. Cheap, old, still the fastest route into construction and squash.	Preston Blair	Animation principles
The Animation Book		A broad practical survey, useful for seeing the whole field at once.	Kit Laybourne	Animation principles
Design for Motion		The closest thing to a motion design textbook — process, not software.	Austin Shaw	Motion design
Motion Graphic Design: Applied History and Aesthetics		Where motion graphics came from and why it looks the way it does.	Jon Krasner	Motion design
Motion Design: Moving Graphics for Television, Music Video, Cinema, and Digital Interfaces		A survey of the discipline across every screen it landed on.	Matt Woolman	Motion design
Grid Systems in Graphic Design		Composition, structure, and the discipline of a layout that holds.	Josef Müller-Brockmann	Design theory
Thinking with Type		Type as a system. Read it before you animate another word.	Ellen Lupton	Typography
The Elements of Typographic Style		The reference. Dense, beautiful, worth returning to.	Robert Bringhurst	Typography
Interaction of Color		Colour is relative. This is the book that proves it to you.	Josef Albers	Design theory
Understanding Comics		Time, sequence and the space between frames — the best book about editing that is not about editing.	Scott McCloud	Storytelling
In the Blink of an Eye		Why a cut works. Short, and it will change how you time everything.	Walter Murch	Storytelling
The Art of Looking Sideways		A commonplace book for the eye. Open it anywhere.	Alan Fletcher	Design theory
Universal Principles of Design		One principle per spread. Good for filling in the gaps you did not know you had.	Lidwell, Holden & Butler	Design theory
Steal Like an Artist		Permission to build on what came before, which is what everyone does anyway.	Austin Kleon	Practice
Show Your Work!		How to be found without becoming a marketer. Relevant to every freelancer here.	Austin Kleon	Practice
