# Motion Design Courses List — exported from Notion (collection 06ba1871-5392-4cea-8a6c-dc5bc531a64b)
#source: notion
# Partial export: 102 of 118 rows. The Notion query quota cut the last page short;
# re-run scripts/directory/sync-notion.md to pick up the remainder.
#cols: name	href	school	meta	skill	price	level	format	engagement
Animated Lettering for GIFs: Boost your Online Presence	https://www.domestika.org/en/courses/3472-animated-lettering-for-gifs-boost-your-online-presence	Domestika	RYLSEE	Cel Animation	US$2-30	Beginners	Content	Self-Paced
Science of Character Animation by Markus Magnusson	https://motiondesign.school/courses/science-of-character-animation-by-markus-magnusson/	Motion Design School	Markus Magnusson	2D Motion;After Effects;Character	US$599	Beginners	Content	Self-Paced
Adobe After Effects for Beginners	https://www.domestika.org/en/courses/1333-adobe-after-effects-for-beginners	Domestika	Manuel Neto	2D Motion	US$2-30	Beginners	Content	Self-Paced
Disney Character Producer	https://motiondesign.school/courses/disney-character-producer/	Motion Design School	Nazar Noschenko	3D Motion;3D;Character	US$499	Intermediate	Content	Self-Paced
Animated Loops with James Curran	https://motiondesign.school/courses/animated-loops-with-james-curran/	Motion Design School	James Curran	2D Motion;After Effects	US$349	Beginners	Content	Self-Paced
Introduction to Motion Design and Animation Curves in After Effects	https://www.domestika.org/en/courses/503-introduction-to-motion-design-and-animation-curves-in-after-effects	Domestika	Holke 79	After Effects;2D Motion	US$2-30	Beginners	Content	Self-Paced
Mixed Media Animation in Procreate	https://www.domestika.org/en/courses/1513-mixed-media-animation-in-procreate	Domestika	Caroline Kjellberg	Cel Animation;Illustration	US$2-30	Beginners	Content	Self-Paced
Advanced After Effects	https://www.domestika.org/en/courses/2218-advanced-after-effects	Domestika	Carlos Zenzuke Albarrán	2D Motion;VFX	US$2-30	Intermediate;Advanced	Content	Self-Paced
The Ultimate Guide to Text Animators in Adobe After Effects	https://www.skillshare.com/en/classes/the-ultimate-guide-to-text-animators-in-adobe-after-effects/1141129555	Skillshare	Jake Bartlett	2D Motion;After Effects;Typography	US$14-32 (Monthly subscription)	Beginners	Content	Self-Paced
AE Academy Series	https://www.motionscience.tv/ae-academy-series	Motion Science	Cameron	2D Motion;After Effects	US$147	Beginners	Content	Self-Paced
Design and Illustration star	https://motiondesign.school/courses/design-and-illustration-star/	Motion Design School	Renaud Lavency	Graphic Design;Illustration	US$499	Beginners;Intermediate	Content	Self-Paced
Advanced Animation for Typographic Compositions	https://www.domestika.org/en/courses/1385-advanced-animation-for-typographic-compositions/	Domestika	Holke 79	After Effects	US$2-30	Intermediate	Content	Self-Paced
UI Animation Essentials	https://motiondesign.school/courses/ui-animation-essentials/	Motion Design School	Iaroslav Kononov & Denys Bondartsov	2D Motion;After Effects;UI	US$349	Beginners	Content	Self-Paced
Typography Animation with After Effects	https://www.domestika.org/en/courses/1806-typography-animation-with-after-effects	Domestika	Érico Santana	2D Motion;After Effects;Typography	US$2-30	Beginners	Content	Self-Paced
Motion Practice with Ben Marriott	https://motiondesign.school/courses/motion-practice-with-ben-marriott/	Motion Design School	Ben Marriott	2D Motion;After Effects	US$349	Beginners	Content	Self-Paced
Explainer Camp	https://www.schoolofmotion.com/courses/explainer-camp	School of Motion	Jake Bartlett	2D Motion	US$897	Beginners;Intermediate	Content + Feedback (Guided);Group sessions	12 weeks;w/Feedback
The Ultimate Guide to Kinetic Type in Adobe After Effects	https://www.skillshare.com/en/classes/the-ultimate-guide-to-kinetic-type-in-adobe-after-effects/282677337	Skillshare	Jake Bartlett	2D Motion;After Effects;Typography	US$14-32 (Monthly subscription)	Beginners;Intermediate	Content	Self-Paced
Animation Bootcamp	https://www.schoolofmotion.com/courses/animation-bootcamp	School of Motion	Joey Korenman	2D Motion;After Effects	US$1095	Beginners	Content + Feedback (Guided);Group sessions	12 weeks;w/Feedback
Cinema 4D Basecamp	https://www.schoolofmotion.com/courses/cinema-4d-basecamp	School of Motion	EJ Hassenfratz	3D;3D Motion	US$1095	Beginners	Content + Feedback (Guided);Group sessions	12 weeks;w/Feedback
Get into 3D with Lucas Zanotto	https://motiondesign.school/courses/get-into-3d-with-lucas-zanotto/	Motion Design School	Lucas Zanotto	3D;3D Motion;Cinema 4D	US$349	Beginners	Content	Self-Paced
Creating Animated Stories with After Effects	https://www.domestika.org/en/courses/3086-creating-animated-stories-with-after-effects/	Domestika	Novenero Studio	2D Motion;After Effects;Illustration	US$2-30	Intermediate	Content	Self-Paced
Animation from Scratch with Adobe Animate	https://www.domestika.org/en/courses/211-animation-from-scratch-with-adobe-animate	Domestika	Josep Bernaus	Cel Animation	US$2-30	Beginners	Content	Self-Paced
Animation for Typographic Logo Designs	https://www.domestika.org/en/courses/2944-animation-for-typographic-logo-designs	Domestika	Holke 79	After Effects;2D Motion	US$2-30	Beginners;Intermediate	Content	Self-Paced
Expression Session	https://www.schoolofmotion.com/courses/expression-session	School of Motion	Nol Honig & Zack Lovatt	2D Motion;Expressions	US$897	Intermediate	Content + Feedback (Guided);Group sessions	12 weeks;w/Feedback
Motion Secrets with Emanuele Colombo	https://motiondesign.school/courses/motion-secrets-with-emanuele-colombo/	Motion Design School	Emanuele Colombo	2D Motion;After Effects	US$499	Intermediate	Content	Self-Paced
Express Animation for Social Media with After Effects	https://www.domestika.org/en/courses/181-express-animation-for-social-media-with-after-effects	Domestika	Yimbo Escárrega	2D Motion	US$2-30	Beginners	Content	Self-Paced
Playful Animated Character Design with Cinema 4D	https://www.domestika.org/en/courses/3467-playful-animated-character-design-with-cinema-4d	Domestika	Alex Kiesling	Cinema 4D;3D	US$2-30	Beginners	Content	Self-Paced
Motion Pro	https://motiondesign.school/courses/motion-pro/	Motion Design School	Iaroslav Kononov & Denys Bondartsov	2D Motion;After Effects	US$499	Intermediate;Advanced	Content	Self-Paced
Motion Graphics: Create an Animated Poster	https://www.domestika.org/en/courses/3097-motion-graphics-create-an-animated-poster	Domestika	Plus Mûrs	After Effects;2D Motion	US$2-30	Beginners	Content	Self-Paced
After Effects, Expressions for Motion Graphics	https://www.domestika.org/en/courses/39-after-effects-expressions-for-motion-graphics/	Domestika	Gabriel Suchowolski · microbians	After Effects;2D Motion	US$2-30	Beginners	Content	Self-Paced
Blender & After Effects	https://motiondesign.school/courses/blender-ae/	Motion Design School	Iaroslav Kononov & Max Kravchenko	2D Motion;3D Motion;After Effects;Blender	US$299	Beginners;Intermediate	Content	Self-Paced
Animating With Ease in Adobe After Effects	https://www.skillshare.com/en/classes/animating-with-ease-in-adobe-after-effects/1372682458	Skillshare	Jake Bartlett	2D Motion;After Effects	US$14-32 (Monthly subscription)	Beginners	Content	Self-Paced
Futuristic User Interfaces for Movies and Games	https://www.domestika.org/en/courses/1059-futuristic-user-interfaces-for-movies-and-games	Domestika	Ernex	2D Motion;After Effects	US$2-30	Beginners	Content	Self-Paced
The Beginner's Guide to After Effects	https://www.skillshare.com/classes/The-Beginners-Guide-to-Adobe-After-Effects/1758053045	Skillshare	Jake Bartlett	After Effects;2D Motion	US$14-32 (Monthly subscription)	Beginners	Content	Self-Paced
Character Animation Bootcamp	https://www.schoolofmotion.com/courses/character-animation-bootcamp	School of Motion	Morgan Williams	2D Motion;Character	US$897	Beginners;Intermediate	Content + Feedback (Guided);Group sessions	12 weeks;w/Feedback
Photoshop + Illustrator Unleashed	https://www.schoolofmotion.com/courses/photoshop-and-illustrator-unleashed	School of Motion	Jake Bartlett	Graphic Design;Illustration	US$897	Beginners	Content + Feedback (Guided);Group sessions	8 weeks;w/Feedback
Motion Graphics for Social Media: Create a Sticker Pack	https://www.domestika.org/en/courses/2013-motion-graphics-for-social-media-create-a-sticker-pack	Domestika	Alex Foxley	2D Motion;After Effects	US$2-30	Beginners;Intermediate	Content	Self-Paced
Introduction to Cavalry for Motion Graphics	https://www.domestika.org/en/courses/3747-introduction-to-cavalry-for-motion-graphics	Domestika	Kyle Daily	2D Motion;Cavalry	US$2-30	Beginners	Content	Self-Paced
Design Bootcamp	https://www.schoolofmotion.com/courses/design-bootcamp	School of Motion	Mike Frederick	Graphic Design	US$1095	Beginners;Intermediate	Content + Feedback (Guided);Group sessions	12 weeks;w/Feedback
Mastering Film UI	https://www.learnsquared.com/courses/mastering-film-ui	LearnSquared	Kris Brady	Graphic Design	US$99	Beginners;Intermediate	Content	Self-Paced
Motion Beast	https://motiondesign.school/courses/motion-beast/	Motion Design School	Iaroslav Kononov	2D Motion;After Effects	US$349	Beginners	Content	Self-Paced
Rive - Interactive Motion	https://motiondesign.school/courses/rive-interactive-motion-era/	Motion Design School	Max Marakhovsky	Rive;2D Motion;UI	US$399	Beginners;Intermediate	Content	Self-Paced
Blender Workout	https://motiondesign.school/courses/blender-workout/	Motion Design School	Ihor Kharlamov	3D;3D Motion;Blender	US$499	Intermediate;Advanced	Content	Self-Paced
Frame-by-Frame Visionary	https://motiondesign.school/courses/frame-by-frame-visionary/	Motion Design School	André Dias	Cel Animation	US$199	Beginners	Content	Self-Paced
Introduction to Cinema 4D	https://www.domestika.org/en/courses/588-introduction-to-cinema-4d/course	Domestika	Francisco Cabezas	3D;Cinema 4D	US$2-30	Beginners	Content	Self-Paced
Motion Design	https://www.learnsquared.com/courses/motion-design	LearnSquared	Jorge Canedo E.	2D Motion;After Effects	US$149	Beginners	Content	Self-Paced
Traditional Animation: Composition, Rhythm and Camera	https://www.domestika.org/en/courses/422-traditional-animation-composition-rhythm-and-camera	Domestika	Ezequiel Torres	Cel Animation	US$2-30	Intermediate;Advanced	Content	Self-Paced
2D and 3D Animation with After Effects and Cinema 4D	https://www.domestika.org/en/courses/1211-2d-and-3d-animation-with-after-effects-and-cinema-4d/course	Domestika	Andrea Gendusa	After Effects;2D Motion;3D;3D Motion;Cinema 4D	US$2-30	Beginners;Intermediate	Content	Self-Paced
Expressions Trip	https://motiondesign.school/courses/expressions-trip/	Motion Design School	Iaroslav Kononov & Denys Bondartsov	2D Motion;After Effects;Expressions	US$349	Intermediate	Content	Self-Paced
Illustration for Animation	https://motiondesign.school/courses/illustration-for-animation/	Motion Design School	Radik Z	Illustration	US$349	Beginners	Content	Self-Paced
Portfolio Animation with After Effects	https://www.domestika.org/en/courses/2138-portfolio-animation-with-after-effects	Domestika	Holke 79	2D Motion;After Effects	US$2-30	Beginners	Content	Self-Paced
Advanced After Effects: Coding for Motion Design	https://www.domestika.org/en/courses/3818-advanced-after-effects-coding-for-motion-design	Domestika	Desmond Du	2D Motion	US$2-30	Intermediate;Advanced	Content	Self-Paced
Design Kickstart	https://www.schoolofmotion.com/courses/design-kickstart	School of Motion	Mike Frederick	Graphic Design	US$897	Intermediate	Content + Feedback (Guided);Group sessions	8 weeks;w/Feedback
Cinema 4D: Bring Playful 3D Illustrations to Life	https://www.domestika.org/en/courses/2797-cinema-4d-bring-playful-3d-illustrations-to-life	Domestika	Mattey	Cinema 4D	US$2-30	Beginners;Intermediate	Content	Self-Paced
Animation for Typographic Compositions	https://www.domestika.org/en/courses/806-animation-for-typographic-compositions	Domestika	Holke 79	2D Motion	US$2-30	Beginners;Intermediate	Content	Self-Paced
Expressive Typography in Motion with After Effects	https://www.domestika.org/en/courses/2593-expressive-typography-in-motion-with-after-effects	Domestika	Mat Voyce	2D Motion	US$2-30	Beginners	Content	Self-Paced
Motion Foundation	https://www.benmarriott.com/motion-foundation	Professor	Ben Marriott	2D Motion;After Effects	US$497	Beginners	Content	9 weeks
Animated Illustrations with After Effects for Social Media	https://www.domestika.org/en/courses/3397-animated-illustrations-with-after-effects-for-social-media/	Domestika	Carlos Alegría	After Effects	US$2-30	Beginners	Content	Self-Paced
3D Modeling and Animation Techniques with Cinema 4D	https://www.domestika.org/en/courses/3571-3d-modeling-and-animation-techniques-with-cinema-4d	Domestika	Federico Piccirillo	Cinema 4D;3D;3D Motion	US$2-30	Beginners	Content	Self-Paced
Illustration for Motion	https://www.schoolofmotion.com/courses/illustration-for-motion	School of Motion	Sarah Beth Morgan	Illustration	US$1095	Intermediate	Content + Feedback (Guided);Group sessions	12 weeks;w/Feedback
Vectorial Animation Frame by Frame Style with After Effects	https://www.domestika.org/en/courses/684-vectorial-animation-frame-by-frame-style-with-after-effects	Domestika	Pablo Cuello	Cel Animation;2D Motion	US$2-30	Intermediate	Content	Self-Paced
Kawaii Character Creation in 3D with Blender	https://www.domestika.org/en/courses/3159-kawaii-character-creation-in-3d-with-blender	Domestika	Yasmin Islas Domínguez	3D	US$2-30	Beginners	Content	Self-Paced
Rendering Photorealistic 3D Scenes in Blender	https://www.domestika.org/en/courses/4182-rendering-photorealistic-3d-scenes-in-blender	Domestika	James Tralie	3D	US$2-30	Intermediate	Content	Self-Paced
Blender for Beginners	https://www.domestika.org/en/courses/1624-blender-for-beginners/course	Domestika	Carlos Sifuentes Haro	3D	US$2-30	Beginners	Content	Self-Paced
