# List of Motion Resources — exported from Notion (collection 2471c0b2-f62f-8029-906a-000b50a9e1e8)
#source: notion
#cols: name	href	what	software
Ben Marriott	https://benmarriott.gumroad.com/	Projects	After Effects
Phillip Von Borries	https://philipvonborries.com/resources	Projects	After Effects;Cavalry
Jake Bartlett	https://www.jakeinmotion.com/downloads	Rigs;Scripts;Projects	After Effects
Ordinary Folk	https://www.ordinaryfolk.co/play	Rigs;Scripts;Projects	After Effects
BattleAxe	https://battleaxe.co/#freebies	Scripts	After Effects
Chris Zackary	https://aereference.com/	Projects	After Effects
Nick Greenwalt	https://www.motionbynick.com/freebies	Projects	After Effects
Marcos Silva	https://buymeacoffee.com/marcos.lab/extras	Scripts;Projects	After Effects
Callum Cannarella	https://callumcannarella.gumroad.com/	Projects	After Effects
AE shortcuts & scripts	https://docs.google.com/spreadsheets/d/1a3ArTUHAJwVi-ObZofvz6IfrKbSGSENlaTIRTs8pAJU/edit	Scripts	After Effects
Call me Champ	https://pleasecallmechamp.com/play	Projects	After Effects
ManuelDoesMotion	https://manueldoesmotion.gumroad.com/	Projects;Scripts	After Effects
Creative Dojo	https://creativedojo.net/tutorials/	Projects	After Effects
PluginEverything	https://www.plugineverything.com/free	Scripts	After Effects
DopeMotions	https://www.dopemotions.com/store	Assets
Michael Ponch	https://michaelponch.gumroad.com/	Projects;Scripts	After Effects
Animoplex	https://www.animoplex.com/free/	Projects	After Effects
UkraMedia Tools	https://ukramedia.com/tools/	Scripts	After Effects
Motion Science	https://www.motionscience.tv/guide	Guide
TipTut	https://tiptut.gumroad.com/	Projects;Assets	After Effects
Scenery.io	https://scenery.io/	Projects	Cavalry
